"","X_key","Course.ID","EntityType","Name","Length..Hours.","Avg..User.Rating","Total.Enrollments","Total.Ratings","Organiser","Difficulty","Public.URL","uni"
"1033","eHaflN6sEeaYmg59u1WXCA","eHaflN6sEeaYmg59u1WXCA","COURSE","Introduction to Cisco Networking",12,4.7967032967033,11257,546,"Cisco","Beginner","https://www.coursera.org/learn/cisco-networking-introduction",FALSE
"1046","UcnQ8LXsEeicHA7pKRXCQg","UcnQ8LXsEeicHA7pKRXCQg","COURSE","Networking in GCP: Hybrid Connectivity and Network Management",17,4.83777777777778,4207,450,"Google Cloud","Intermediate","https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management",FALSE
"1092","FV7TEr1MEeiH_hJIOsoMdg","FV7TEr1MEeiH_hJIOsoMdg","COURSE","Industrial IoT on Google Cloud Platform",21,4.60843373493976,5259,166,"Google Cloud","Beginner","https://www.coursera.org/learn/iiot-google-cloud-platform",FALSE
"1139","-xywPngyEemk9gpx_SkOyg","-xywPngyEemk9gpx_SkOyg","COURSE","Introduction to CAD, CAM, and Practical CNC Machining",19,4.91304347826087,1915,46,"Autodesk","Advanced","https://www.coursera.org/learn/introduction-cad-cam-practical-cnc-machining",FALSE
"1142","atkdXbKeEeemqw5WgBHkCA","atkdXbKeEeemqw5WgBHkCA","COURSE","Creating New BigQuery Datasets and Visualizing Insights",8,4.61723163841808,7039,708,"Google Cloud","Beginner","https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights",FALSE
"1149","rAJVCNsZEemxthIDmiPlEg","rAJVCNsZEemxthIDmiPlEg","COURSE","Hybrid Cloud Infrastructure Foundations with Anthos",8,4.8,747,25,"Google Cloud","Intermediate","https://www.coursera.org/learn/hybrid-cloud-infrastructure-foundations-anthos",FALSE
"1150","BkQTO_GxEeiCNw6qJOIwLA","BkQTO_GxEeiCNw6qJOIwLA","COURSE","Mitigating Security Vulnerabilities on Google Cloud Platform",12,4.73432835820896,3536,335,"Google Cloud","Intermediate","https://www.coursera.org/learn/mitigating-security-vulnerabilites-gcp",FALSE
"1160","_9RQIP1dEeivKQ5QhuTomA","_9RQIP1dEeivKQ5QhuTomA","COURSE","Statistics with SAS",24,4.89189189189189,4030,37,"SAS","Intermediate","https://www.coursera.org/learn/sas-statistics",FALSE
"1169","yE4SeOsyEeWaMA7Pe7xMzw","yE4SeOsyEeWaMA7Pe7xMzw","COURSE","Embedded Hardware and Operating Systems",8,4.21739130434783,30274,368,"EIT Digital ","Intermediate","https://www.coursera.org/learn/embedded-operating-system",FALSE
"1170","WGKjcPbxEeeENAqf5jsdFA","WGKjcPbxEeeENAqf5jsdFA","COURSE","The Science of Stem Cells",9,4.73170731707317,7052,328,"American Museum of Natural History","Intermediate","https://www.coursera.org/learn/stem-cells",FALSE
"1171","SB2cQpX7EeiC6wosjoSpnA","SB2cQpX7EeiC6wosjoSpnA","COURSE","Bridging the Gap between Strategy Design and Delivery",20,4.74666666666667,7895,225,"Brightline Initiative","Intermediate","https://www.coursera.org/learn/bridging-strategy-design-delivery-gap",FALSE
"1208","mYKWFGOREeiU-BJdAbJ8Sg","mYKWFGOREeiU-BJdAbJ8Sg","COURSE","Open Source Software Development Methods",7,4.48076923076923,5936,208,"The Linux Foundation","Beginner","https://www.coursera.org/learn/open-source-software-development-methods",FALSE
"1214","gleO-1GoEeWxCwowHhzTpQ","gleO-1GoEeWxCwowHhzTpQ","COURSE","Introdução ao Marketing Analítico",21,4.72147651006711,32027,596,"Insper","Mixed","https://www.coursera.org/learn/marketing-analitico",FALSE
"1228","eym3qXsSEemyrBI9Y3qCUg","eym3qXsSEemyrBI9Y3qCUg","COURSE","Building AI Applications with Watson APIs",10,4.16,2423,200,"IBM","Intermediate","https://www.coursera.org/learn/building-ai-applications",FALSE
"1255","MqvMaov8EemkkA7dzZOBWg","MqvMaov8EemkkA7dzZOBWg","COURSE","Managing G Suite",6,4.74117647058824,2000,255,"Google Cloud","Beginner","https://www.coursera.org/learn/managing-g-suite",FALSE
"1262","3XMnuVFsEemYkgoCaF1HCg","3XMnuVFsEemYkgoCaF1HCg","COURSE","Using Python to Interact with the Operating System",27,4,1143,1,"Google","Beginner","https://www.coursera.org/learn/python-operating-system",FALSE
"1273","6mOCpgP8EeWmBSIAC9UI2A","6mOCpgP8EeWmBSIAC9UI2A","COURSE","Writing for Young Readers: Opening the Treasure Chest",17,4.67420814479638,64819,884,"Commonwealth Education Trust","Mixed","https://www.coursera.org/learn/writing-for-children",FALSE
"1275","cS_C5UgCEeimMA5aS6rd2g","cS_C5UgCEeimMA5aS6rd2g","COURSE","Feature Engineering",11,4.47159090909091,10525,1232,"Google Cloud","Intermediate","https://www.coursera.org/learn/feature-engineering",FALSE
"1277","zi4UCE5_Eem0lhKc4vCNig","zi4UCE5_Eem0lhKc4vCNig","COURSE","Architecting with Google Kubernetes Engine: Production",9,4.7016317016317,4085,429,"Google Cloud","Intermediate","https://www.coursera.org/learn/deploying-secure-kubernetes-containers-in-production",FALSE
"1286","UDOU-36EEeebcBJbr9YsJg","UDOU-36EEeebcBJbr9YsJg","COURSE","Grow Your Business with Goldman Sachs 10,000 Women",5,4.86161879895561,27277,383,"Goldman Sachs","Intermediate","https://www.coursera.org/learn/gs10kw",FALSE
"1304","F4RP4im0EemGIwrk4Em40g","F4RP4im0EemGIwrk4Em40g","COURSE","Estrutura e Funcionamento das Redes de Computadores",21,4.89908256880734,900,218,"Cresça com o Google","Beginner","https://www.coursera.org/learn/redes-computadores",FALSE
"1339","xp-FcDm7EeeN-xLrqutC-A","xp-FcDm7EeeN-xLrqutC-A","COURSE","API Development on Google Cloud's Apigee API Platform",8,4.66076696165192,5576,678,"Google Cloud","Intermediate","https://www.coursera.org/learn/api-development-apigee-gcp",FALSE
