,X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL,uni
2389,pPsJvhv9EealIRJP087Tdw,pPsJvhv9EealIRJP087Tdw,COURSE,Mediation and Conflict Resolution,15,4.6125,3920,80,ESSEC Business School,Intermediate,https://www.coursera.org/learn/conflict-resolution-mediation,TRUE
2390,oaeb_GhiEeiWWA7RoNO8_g,oaeb_GhiEeiWWA7RoNO8_g,COURSE,Mandarin Chinese for Intermediate Learners: Part 1,16,4.833333333,1797,36,Shanghai Jiao Tong University,Intermediate,https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1,TRUE
2391,jzr44XmWEeWfrQ7ngHMGEQ,jzr44XmWEeWfrQ7ngHMGEQ,COURSE,Экономическая социология,14,4.848066298,10158,362,National Research University Higher School of Economics,Mixed,https://www.coursera.org/learn/ekonomicheskaya-sociologiya,TRUE
2392,Niihyrb2EeSNXyIAC0mVOQ,Niihyrb2EeSNXyIAC0mVOQ,COURSE,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,9,4.823529412,23505,221,Georgia Institute of Technology,Mixed,https://www.coursera.org/learn/motion-and-kinetics,TRUE
2393,IK09j7hBEemgfxK88wkxgA,IK09j7hBEemgfxK88wkxgA,COURSE,Искусство продаж,16,5,647,2,Saint Petersburg State University,Beginner,https://www.coursera.org/learn/iskusstvo-prodazh,TRUE
2394,H5d8JrZIEeWq2A7HIftJ6w,H5d8JrZIEeWq2A7HIftJ6w,COURSE,3D Printing Hardware,23,4.2,5379,5,University of Illinois at Urbana-Champaign,Mixed,https://www.coursera.org/learn/3d-print-hardware,TRUE
2395,DDohSXmwEea0bBInbpCXBQ,DDohSXmwEea0bBInbpCXBQ,COURSE,Global Health at the Human-Animal-Ecosystem Interface,29,4.696,4914,125,University of Geneva,Intermediate,https://www.coursera.org/learn/global-health-human-animal-ecosystem,TRUE
2396,3FBY1Z4eEeev7w6v-2RTNg,3FBY1Z4eEeev7w6v-2RTNg,COURSE,Customer-Centric IT Strategy,6,4.450819672,5618,122,University of Virginia,Beginner,https://www.coursera.org/learn/uva-darden-customer-centric-it-strategy,TRUE
2398,v-h_bGXXEemPug4qlzPbag,v-h_bGXXEemPug4qlzPbag,COURSE,Addiction Treatment: Clinical Skills for Healthcare Providers,14,5,144,1,Yale University,Beginner,https://www.coursera.org/learn/addiction-treatment,TRUE
2399,nUm5Ry-iEeWUWxIOAnoaFQ,nUm5Ry-iEeWUWxIOAnoaFQ,COURSE,"Clinical Kidney, Pancreas and Islet Transplantation",16,4.778280543,12930,221,Universiteit Leiden,Intermediate,https://www.coursera.org/learn/clinical-kidney-transplantation,TRUE
2400,nOUxQJHMEeWxTA6NLywNHw,nOUxQJHMEeWxTA6NLywNHw,COURSE,Wind resources for renewable energies,30,4.039215686,5620,51,École Polytechnique,Intermediate,https://www.coursera.org/learn/wind-for-renewable-energies,TRUE
2401,dZoAyibQEeiHXRK9Gf-Ucg,dZoAyibQEeiHXRK9Gf-Ucg,COURSE,Health Care Innovation,8,4.585858586,2816,99,University of Pennsylvania,Mixed,https://www.coursera.org/learn/wo-pmo-healthcareinnovation,TRUE
2402,WzSiZpmLEeigcQ6ACV18LA,WzSiZpmLEeigcQ6ACV18LA,COURSE,Qualitative Comparative Analysis (QCA),13,4.875,1113,16,Erasmus University Rotterdam,Beginner,https://www.coursera.org/learn/qualitative-comparative-analysis,TRUE
2403,UxFYR0TfEeaNmhKFnqHOVQ,UxFYR0TfEeaNmhKFnqHOVQ,COURSE,Analysing Complexity,18,4.684210526,6011,57,Macquarie University,Beginner,https://www.coursera.org/learn/analysing-complexity,TRUE
2404,SG-xmoveEei4VgrXLt_OBg,SG-xmoveEei4VgrXLt_OBg,COURSE,Introduction to Basic Vibrations,11,4.264705882,1193,34,Korea Advanced Institute of Science and Technology(KAIST),Intermediate,https://www.coursera.org/learn/introduction-basic-vibrations,TRUE
2405,FK_NWKcuEeiewg6ITCXUVA,FK_NWKcuEeiewg6ITCXUVA,COURSE,Sistemas agrosilvopastoriles: una alternativa climáticamente inteligente para la ganadería,12,4.822222222,2394,45,Universidad Nacional Autónoma de México,Beginner,https://www.coursera.org/learn/sistemas-agrosilvopastoriles,TRUE
2406,82sYmnQ8EeWKsgrp3VnvAw,82sYmnQ8EeWKsgrp3VnvAw,COURSE,Setting Expectations & Assessing Performance Issues,12,4.718954248,8904,306,"University of California, Davis",Mixed,https://www.coursera.org/learn/coaching-expectations-performance,TRUE
