X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL
f_F-qCtuEei_fRLwaVDk3g,f_F-qCtuEei_fRLwaVDk3g,COURSE,Advanced Machine Learning and Signal Processing,16,4.509734513274337,12605,565,IBM,Advanced,https://www.coursera.org/learn/advanced-machine-learning-signal-processing
_nmSxATFEeqzqg7f9hTL-Q,_nmSxATFEeqzqg7f9hTL-Q,COURSE,Using Machine Learning in Trading and Finance,10,2.375,2239,8,"Google Cloud, New York Institute of Finance",Intermediate,https://www.coursera.org/learn/machine-learning-trading-finance
s5lnPA8eEeeY9w43qQI3Ag,s5lnPA8eEeeY9w43qQI3Ag,COURSE,Entrepreneurship Strategy: From Ideation to Exit,26,4.791855203619909,14197,221,HEC Paris,Beginner,https://www.coursera.org/learn/entrepreneurship-strategy
Pr5NLlPyEei-RQ6pitSIHg,Pr5NLlPyEei-RQ6pitSIHg,COURSE,Visual Perception for Self-Driving Cars,20,4.60431654676259,5689,139,University of Toronto,Advanced,https://www.coursera.org/learn/visual-perception-self-driving-cars
s4CUmzCqEeWPngoW78wA_Q,s4CUmzCqEeWPngoW78wA_Q,COURSE,"The Modern World, Part Two: Global History since 1910",26,4.842105263157895,40898,836,University of Virginia,Beginner,https://www.coursera.org/learn/modern-world-2
wYVFrFUOEeiXDgqeSsw0yA,wYVFrFUOEeiXDgqeSsw0yA,COURSE,Introduction to Statistics & Data Analysis in Public Health,12,4.679841897233201,7701,253,Imperial College London,Beginner,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health
oSDxwswyEeWXgg4wnpJx-w,oSDxwswyEeWXgg4wnpJx-w,COURSE,Social and Economic Networks:  Models and Analysis,25,4.809917355371901,35598,484,Stanford University,Advanced,https://www.coursera.org/learn/social-economic-networks
Vp4oX3WkEeWYyRL_9oqa4Q,Vp4oX3WkEeWYyRL_9oqa4Q,COURSE,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),36,4.958333333333333,20444,264,Hebrew University of Jerusalem,Mixed,https://www.coursera.org/learn/nand2tetris2
MVZ09jVhEemVlQ65Erh-fA,MVZ09jVhEemVlQ65Erh-fA,COURSE,Ordered Data Structures,18,4.823529411764706,2516,187,University of Illinois at Urbana-Champaign,Mixed,https://www.coursera.org/learn/cs-fundamentals-2
pW_Of3vUEeaCZBIelfdoiQ,pW_Of3vUEeaCZBIelfdoiQ,COURSE,Drug Development,10,4.595744680851064,22126,470,University of California San Diego,Beginner,https://www.coursera.org/learn/drug-development
